Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,37,43,39,9,Yes
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,37,43,39,9,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,33,41,36,8,Yes
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,33,41,36,8,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,35,41,37,8,Yes
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,35,41,37,8,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JMTXV01.2G5P,small car,5,33,40,35,8,Yes
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JMTXV01.2G5P,small car,5,33,40,35,8,Yes
MITSUBISHI Outlander PHEV,2,4,Auto-1,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JMTXT02.0H3M,small SUV,7,25/78,26/70,25/74,10,Elite
MITSUBISHI Outlander PHEV,2,4,Auto-1,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JMTXT02.0H3M,small SUV,7,25/78,26/70,25/74,10,Elite
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV02.5R5A,midsize car,7,27,38,31,7,Yes
NISSAN Altima,2.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV02.5R5A,midsize car,7,27,38,31,7,Yes
NISSAN Altima SR,2.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV02.5R5A,midsize car,7,26,37,30,7,Yes
NISSAN Altima SR,2.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV02.5R5A,midsize car,7,26,37,30,7,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV01.6RNA,midsize car,7,31,36,33,8,Yes
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV01.6RNA,midsize car,7,31,36,33,8,Yes
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JNSXV0000TLA,midsize car,10,125,100,112,10,Elite
NISSAN Leaf,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JNSXV0000TLA,midsize car,10,125,100,112,10,Elite
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXT02.0NGA,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXT02.0NGA,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXT02.0NGA,small SUV,3,31,34,33,8,Yes
NISSAN Rogue Hybrid,2,4,SCV-7,4WD,Gasoline,CA,U2,California LEV-II ULEV,JNSXT02.0NGA,small SUV,3,31,34,33,8,Yes
NISSAN Sentra,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JNSXV01.8R1A,midsize car,7,29,37,32,7,Yes
NISSAN Sentra,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JNSXV01.8R1A,midsize car,7,29,37,32,7,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JNSXV01.6N4A,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV01.6N4A,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JNSXV01.6P4A,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JNSXV01.6P4A,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,JNSXV01.6N4A,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JNSXV01.6N4A,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JNSXV01.6P4A,small car,5,27,36,30,7,Yes
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JNSXV01.6P4A,small car,5,27,36,30,7,Yes
PORSCHE Cayenne S e-Hybrid,3,6,AutoMan-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JPRXT03.0PHV,standard SUV,3,21/47,24/46,22/47,8,Yes
PORSCHE Cayenne S e-Hybrid,3,6,AutoMan-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JPRXT03.0PHV,standard SUV,3,21/47,24/46,22/47,8,Yes
PORSCHE Panamera 4 e-Hybrid,2.9,6,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,JPRXV02.9PH6,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid,2.9,6,AMS-8,4WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,JPRXV02.9PH6,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,JPRXV02.9PH6,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6,AMS-8,4WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,JPRXV02.9PH6,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid ST,2.9,6,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV70,California LEV-III ULEV70,JPRXV02.9PH6,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid ST,2.9,6,AMS-8,4WD,Gasoline/Electricity,FA,T3B70,Federal Tier 3 Bin 70,JPRXV02.9PH6,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera Turbo S e-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JPRXV04.0PH8,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JPRXV04.0PH8,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JPRXV04.0PH8,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid Exec,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JPRXV04.0PH8,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,JPRXV04.0PH8,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid ST,4,8,AMS-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,JPRXV04.0PH8,large car,3,19/48,23/51,21/49,7,Yes
SMART ForTwo ed,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JMBXV00.0ED1,small car,10,124,94,108,10,Elite
SMART ForTwo ed,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JMBXV00.0ED1,small car,10,124,94,108,10,Elite
SMART ForTwo ed,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JMBXV00.0ED2,small car,10,112,91,102,10,Elite
SMART ForTwo ed,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JMBXV00.0ED2,small car,10,112,91,102,10,Elite
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFJXJ02.0BUY,midsize car,7,28,38,32,7,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFJXJ02.0BUY,station wagon,7,28,37,31,7,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JFJXJ02.0BUY,midsize car,6,28,38,32,7,Yes
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JFJXJ02.0BUY,station wagon,6,28,37,31,7,Yes
SUBARU Impreza Sport,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFJXJ02.0BUY,midsize car,7,27,36,30,7,Yes
SUBARU Impreza Sport,2,4,SCV-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JFJXJ02.0BUY,station wagon,7,27,35,30,7,Yes
SUBARU Impreza Sport,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JFJXJ02.0BUY,midsize car,6,27,36,30,7,Yes
SUBARU Impreza Sport,2,4,SCV-7,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,JFJXJ02.0BUY,station wagon,6,27,35,30,7,Yes
TESLA Model 3 Long Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Long Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Long Range Performance,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Long Range Performance,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L23,midsize car,10,120,112,116,10,Elite
TESLA Model 3 Mid Range,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L13,midsize car,10,128,117,123,10,Elite
TESLA Model 3 Mid Range,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L13,midsize car,10,128,117,123,10,Elite
TESLA Model 4 Long Range,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L13,midsize car,10,136,123,130,10,Elite
TESLA Model 4 Long Range,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L13,midsize car,10,136,123,130,10,Elite
TESLA Model S 100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L2S,large car,10,101,102,102,10,Elite
TESLA Model S 100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L2S,large car,10,101,102,102,10,Elite
TESLA Model S 75D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L2S,large car,10,102,105,103,10,Elite
TESLA Model S 75D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L2S,large car,10,102,105,103,10,Elite
TESLA Model S 75kWh,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L1S,large car,10,97,100,98,10,Elite
TESLA Model S 75kWh,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L1S,large car,10,97,100,98,10,Elite
TESLA Model S P100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L2S,large car,10,92,105,98,10,Elite
TESLA Model S P100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L2S,large car,10,92,105,98,10,Elite
TESLA Model X 100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L2X,standard SUV,10,86,89,87,10,Elite
TESLA Model X 100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L2X,standard SUV,10,86,89,87,10,Elite
TESLA Model X 75D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L2X,standard SUV,10,91,95,93,10,Elite
TESLA Model X 75D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L2X,standard SUV,10,91,95,93,10,Elite
TESLA Model X P100D,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JTSLV00.0L2X,standard SUV,10,83,89,85,10,Elite
TESLA Model X P100D,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,JTSLV00.0L2X,standard SUV,10,83,89,85,10,Elite
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P34,midsize car,7,40,39,40,9,Yes
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P34,midsize car,7,40,39,40,9,Yes
TOYOTA Camry,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P3A,midsize car,7,29,41,34,8,Yes
TOYOTA Camry,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P3A,midsize car,7,29,41,34,8,Yes
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P35,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P35,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid XLE/SE,2.5,4,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P33,midsize car,7,44,47,46,10,Elite
TOYOTA Camry Hybrid XLE/SE,2.5,4,SCV-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P33,midsize car,7,44,47,46,10,Elite
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P3A,midsize car,7,28,39,32,7,Yes
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P3A,midsize car,7,28,39,32,7,Yes
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV02.5P3A,midsize car,7,28,39,32,7,Yes
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV02.5P3A,midsize car,7,28,39,32,7,Yes
TOYOTA Corolla,1.8,4,CVT,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.8B6A,midsize car,3,28,36,32,7,Yes
TOYOTA Corolla,1.8,4,CVT,2WD,Gasoline,CA,U2,California LEV-II ULEV,JTYXV01.8B6A,midsize car,3,28,36,32,7,Yes
TOYOTA Corolla,1.8,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.8B6A,midsize car,3,27,35,30,7,Yes
TOYOTA Corolla,1.8,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,JTYXV01.8B6A,midsize car,3,27,35,30,7,Yes
TOYOTA Corolla,1.8,4,SCV-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.8B6A,midsize car,3,28,35,31,7,Yes
TOYOTA Corolla,1.8,4,SCV-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,JTYXV01.8B6A,midsize car,3,28,35,31,7,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JTYXV01.8M5B,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JTYXV01.8M5B,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JTYXV01.8M5B,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JTYXV01.8M5B,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla iM,1.8,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JTYXV01.8M5B,midsize car,5,27,35,30,7,Yes
TOYOTA Corolla iM,1.8,4,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JTYXV01.8M5B,midsize car,5,27,35,30,7,Yes
TOYOTA Corolla iM,1.8,4,SCV-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JTYXV01.8M5B,midsize car,5,28,36,31,7,Yes
TOYOTA Corolla iM,1.8,4,SCV-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JTYXV01.8M5B,midsize car,5,28,36,31,7,Yes
TOYOTA Mirai,N/A,N/A,CVT,2WD,Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,JTYXV00.0DA7,small car,10,67,67,67,10,Elite
TOYOTA Mirai,N/A,N/A,CVT,2WD,Hydrogen,CA,ZEV,California ZEV,JTYXV00.0DA7,small car,10,67,67,67,10,Elite
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV01.8P33,midsize car,7,54,50,52,10,Elite
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV01.8P33,midsize car,7,54,50,52,10,Elite
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV01.8P34,midsize car,7,54,50,52,10,Elite
TOYOTA Prius,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV01.8P34,midsize car,7,54,50,52,10,Elite
TOYOTA Prius Eco,1.8,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV01.8P34,midsize car,7,58,53,56,10,Elite
TOYOTA Prius Eco,1.8,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV01.8P34,midsize car,7,58,53,56,10,Elite
TOYOTA Prius Prime,1.8,4,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JTYXV01.8P35,midsize car,7,55/145,53/121,54/133,10,Elite
TOYOTA Prius Prime,1.8,4,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JTYXV01.8P35,midsize car,7,55/145,53/121,54/133,10,Elite
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXV01.5P34,small car,7,48,43,46,10,Elite
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXV01.5P34,small car,7,48,43,46,10,Elite
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,JTYXT02.5P3M,small SUV,7,34,30,32,7,Yes
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,JTYXT02.5P3M,small SUV,7,34,30,32,7,Yes
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.5B6B,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,CA,U2,California LEV-II ULEV,JTYXV01.5B6B,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.5B6B,small car,3,30,36,33,8,Yes
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,JTYXV01.5B6B,small car,3,30,36,33,8,Yes
TOYOTA Yaris iA,1.5,4,Man-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,JTYXV01.5F6A,small car,3,30,39,34,8,Yes
TOYOTA Yaris iA,1.5,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.5F6A,small car,3,30,39,34,8,Yes
TOYOTA Yaris iA,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,JTYXV01.5F6A,small car,3,32,40,35,8,Yes
TOYOTA Yaris iA,1.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JTYXV01.5F6A,small car,3,32,40,35,8,Yes
VOLKSWAGEN Jetta,1.4,4,Man-5,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,JVGAV01.4VUP,small car,3,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4,Man-5,2WD,Gasoline,CA,U2,California LEV-II ULEV,JVGAV01.4VUP,small car,3,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,JVGAV01.4V7P,small car,5,28,38,32,7,Yes
VOLKSWAGEN Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,JVGAV01.4V7P,small car,5,28,38,32,7,Yes
VOLKSWAGEN e-Golf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,JVGAV00.0VZZ,small car,10,126,111,119,10,Elite
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JVVXV02.0P30,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JVVXV02.0P30,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JVVXJ02.0P30,small SUV,7,26/60,28/58,26/59,10,Elite
VOLVO XC60,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JVVXJ02.0P30,small SUV,7,26/60,28/58,26/59,10,Elite
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,JVVXJ02.0P30,standard SUV,7,26/63,30/61,27/62,10,Elite
VOLVO XC90,2,4,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,JVVXJ02.0P30,standard SUV,7,26/63,30/61,27/62,10,Elite
