model,displ,cyl,trans,drive,fuel,veh_class,smog_rating,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
AUDI A3 e-tron,1.4,4.0,AMS-6,2WD,Gasoline/Electricity,small car,7,34/81,39/86,36/83,10,Elite
AUDI A4 Ultra,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,27,37,31,7,Yes
BMW 328d,2.0,4.0,SemiAuto-8,2WD,Diesel,small car,3,31,43,36,7,Yes
BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,small car,3,28/66,34/78,30/71,10,Yes
BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,small car,7,27/70,31/75,29/72,10,Elite
BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small car,7,27/66,31/68,28/67,10,Elite
BMW 740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,large car,3,25/62,29/68,27/64,9,Yes
BMW X5 xDrive40e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,3,23/55,25/57,24/56,8,Yes
BMW i3 (94Ah),0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,7,36/117,33/101,35/109,10,Elite
BMW i3s (94Ah),0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,7,36/117,33/101,35/109,10,Elite
BUICK Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,27,33,30,7,Yes
CADILLAC CT6 Plug-In,2.0,4.0,CVT,2WD,Gasoline/Electricity,midsize car,3,23/56,29/71,25/62,10,Yes
CHEVROLET Cruze,1.4,4.0,Man-6,2WD,Gasoline,small car,6,27,40,32,7,Yes
CHEVROLET Cruze,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,6,29,40,33,8,Yes
CHEVROLET Cruze,1.6,4.0,Auto-9,2WD,Diesel,small car,3,31,47,37,7,Yes
CHEVROLET Cruze,1.6,4.0,Man-6,2WD,Diesel,small car,3,30,52,37,7,Yes
CHEVROLET Cruze Hatchback,1.4,4.0,Man-6,2WD,Gasoline,midsize car,6,27,38,31,7,Yes
CHEVROLET Cruze Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,6,29,38,32,7,Yes
CHEVROLET Cruze Hatchback,1.6,4.0,Auto-9,2WD,Diesel,midsize car,3,30,45,35,7,Yes
CHEVROLET Cruze Hatchback,1.6,4.0,Man-6,2WD,Diesel,midsize car,3,29,48,35,7,Yes
CHEVROLET Cruze Premier,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,6,29,39,33,8,Yes
CHEVROLET Cruze Premier Hatchback,1.4,4.0,SemiAuto-6,2WD,Gasoline,midsize car,6,28,37,31,7,Yes
CHEVROLET Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,6,27,36,30,7,Yes
CHEVROLET Malibu,1.5,4.0,Auto-6,2WD,Gasoline,midsize car,7,27,36,30,7,Yes
CHEVROLET Malibu,1.8,4.0,CVT,2WD,Gasoline,midsize car,3,49,43,46,10,Yes
CHEVROLET Sonic,1.4,4.0,Man-6,2WD,Gasoline,small car,3,28,37,32,7,Yes
CHEVROLET Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,3,27,35,30,7,Yes
CHEVROLET Sonic 5,1.4,4.0,Man-6,2WD,Gasoline,station wagon,3,28,37,32,7,Yes
CHEVROLET Sonic 5,1.4,4.0,SemiAuto-6,2WD,Gasoline,station wagon,3,27,35,30,7,Yes
CHEVROLET Spark,1.4,4.0,CVT,2WD,Gasoline,small car,5,30,38,33,8,Yes
CHEVROLET Spark,1.4,4.0,Man-5,2WD,Gasoline,small car,5,29,39,33,8,Yes
CHEVROLET Spark Activ,1.4,4.0,CVT,2WD,Gasoline,small car,5,30,37,33,8,Yes
CHEVROLET Spark Activ,1.4,4.0,Man-5,2WD,Gasoline,small car,5,29,38,32,7,Yes
CHEVROLET Volt,1.5,4.0,CVT,2WD,Gasoline/Electricity,small car,3,43/113,42/99,42/106,10,Yes
CHEVROLET Volt,1.5,4.0,CVT,2WD,Gasoline/Electricity,small car,7,43/113,42/99,42/106,10,Elite
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,minivan,7,32/89,33/78,32/84,10,Elite
FIAT 124 Spider,1.4,4.0,Man-6,2WD,Gasoline,small car,3,26,35,30,7,Yes
FIAT 500,1.4,4.0,Man-5,2WD,Gasoline,small car,3,28,33,30,7,Yes
FIAT 500 Abarth,1.4,4.0,Man-5,2WD,Gasoline,small car,3,28,33,30,7,Yes
FORD C-MAX Hybrid,2.0,4.0,CVT,2WD,Gasoline,large car,7,42,38,40,9,Yes
FORD Fiesta,1.6,4.0,AMS-6,2WD,Gasoline,small car,3,27,37,31,7,Yes
FORD Fiesta,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27,35,30,7,Yes
FORD Focus,1.0,3.0,Man-6,2WD,Gasoline,small car,3,30,40,34,8,Yes
FORD Focus,1.0,3.0,SemiAuto-6,2WD,Gasoline,small car,3,27,38,31,7,Yes
FORD Focus,2.0,4.0,AutoMan-6,2WD,Gasoline,small car,7,26,38,31,7,Yes
FORD Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Gasoline/Electricity,midsize car,7,43/102,41/91,42/97,10,Elite
FORD Fusion Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,43,41,42,9,Yes
HONDA Accord,1.5,4.0,CVT,2WD,Gasoline,large car,7,30,38,33,8,Yes
HONDA Accord,1.5,4.0,Man-6,2WD,Gasoline,large car,6,26,35,30,7,Yes
HONDA Accord,1.5,4.0,SCV-7,2WD,Gasoline,large car,7,29,35,31,7,Yes
HONDA Accord,2.0,4.0,CVT,2WD,Gasoline,large car,7,47,47,47,10,Elite
HONDA CR-V,1.5,4.0,CVT,2WD,Gasoline,small SUV,5,28,34,30,7,Yes
HONDA Civic 2Dr,1.5,4.0,CVT,2WD,Gasoline,small car,7,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4.0,CVT,2WD,Gasoline,small car,3,31,40,35,8,Yes
HONDA Civic 2Dr,1.5,4.0,Man-6,2WD,Gasoline,small car,3,30,41,35,8,Yes
HONDA Civic 2Dr,1.5,4.0,Man-6,2WD,Gasoline,small car,3,28,38,32,7,Yes
HONDA Civic 2Dr,2.0,4.0,CVT,2WD,Gasoline,small car,7,30,39,34,8,Yes
HONDA Civic 2Dr,2.0,4.0,CVT,2WD,Gasoline,small car,3,30,39,34,8,Yes
HONDA Civic 2Dr,2.0,4.0,Man-6,2WD,Gasoline,small car,3,28,39,32,7,Yes
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,midsize car,7,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4.0,CVT,2WD,Gasoline,midsize car,3,32,42,36,8,Yes
HONDA Civic 4Dr,1.5,4.0,Man-6,2WD,Gasoline,midsize car,3,31,42,35,8,Yes
HONDA Civic 4Dr,1.5,4.0,Man-6,2WD,Gasoline,midsize car,3,28,38,32,7,Yes
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,31,40,34,8,Yes
HONDA Civic 4Dr,2.0,4.0,CVT,2WD,Gasoline,midsize car,3,31,40,34,8,Yes
HONDA Civic 4Dr,2.0,4.0,Man-6,2WD,Gasoline,midsize car,3,28,40,32,7,Yes
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,7,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4.0,CVT,2WD,Gasoline,large car,3,31,40,34,8,Yes
HONDA Civic 5Dr,1.5,4.0,Man-6,2WD,Gasoline,large car,3,29,38,33,8,Yes
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,7,30,36,32,7,Yes
HONDA Civic 5Dr,1.5,4.0,SCV-7,2WD,Gasoline,large car,3,30,36,32,7,Yes
HONDA Clarity,1.5,4.0,CVT,2WD,Gasoline/Electricity,midsize car,8,44/117,40/102,42/110,10,Elite
HONDA Fit,1.5,4.0,CVT,2WD,Gasoline,station wagon,7,33,40,36,8,Yes
HONDA Fit,1.5,4.0,Man-6,2WD,Gasoline,station wagon,3,29,36,31,7,Yes
HONDA Fit,1.5,4.0,SCV-7,2WD,Gasoline,station wagon,7,31,36,33,8,Yes
HONDA HR-V,1.8,4.0,CVT,2WD,Gasoline,station wagon,3,28,34,31,7,Yes
HONDA HR-V,1.8,4.0,SCV-7,2WD,Gasoline,station wagon,3,28,34,31,7,Yes
HYUNDAI Accent,1.6,4.0,Man-6,2WD,Gasoline,small car,3,28,37,31,7,Yes
HYUNDAI Accent,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,3,28,38,32,7,Yes
HYUNDAI Elantra,1.4,4.0,AutoMan-7,2WD,Gasoline,midsize car,3,32,40,35,8,Yes
HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,Yes
HYUNDAI Elantra,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,28,37,32,7,Yes
HYUNDAI Elantra SE,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,29,38,33,8,Yes
HYUNDAI Elantra SE,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
HYUNDAI Ioniq,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,7,55,54,55,10,Elite
HYUNDAI Ioniq Blue,1.6,4.0,AutoMan-6,2WD,Gasoline,large car,7,57,59,58,10,Elite
HYUNDAI Ioniq Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,7,53/123,52/114,52/119,10,Elite
HYUNDAI Kona,1.6,4.0,AutoMan-7,2WD,Gasoline,small SUV,5,28,32,30,7,Yes
HYUNDAI Kona,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5,27,33,30,7,Yes
HYUNDAI Sonata,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,5,28,37,31,7,Yes
HYUNDAI Sonata Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,7,39,44,41,9,Yes
HYUNDAI Sonata Hybrid SE,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,7,40,46,42,9,Yes
HYUNDAI Sonata plug-in hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,7,37/99,42/100,39/99,10,Elite
INFINITI Q70 Hybrid,3.5,6.0,SemiAuto-7,2WD,Gasoline,midsize car,3,28,33,30,7,Yes
KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,29,37,32,7,Yes
KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,5,29,37,32,7,Yes
KIA Niro,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,7,51,46,49,10,Elite
KIA Niro FE,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,7,52,49,50,10,Elite
KIA Niro Plug-in Hybrid,1.6,4.0,AutoMan-6,2WD,Gasoline/Electricity,station wagon,7,48/110,44/99,46/105,10,Elite
KIA Niro Touring,1.6,4.0,AutoMan-6,2WD,Gasoline,station wagon,7,46,40,43,9,Yes
KIA Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,3,28,37,31,7,Yes
KIA Optima Hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline,midsize car,3,39,46,42,9,Yes
KIA Optima plug-in hybrid,2.0,4.0,AutoMan-6,2WD,Gasoline/Electricity,midsize car,7,38/103,43/104,40/103,10,Elite
KIA Rio,1.6,4.0,Man-6,2WD,Gasoline,small car,3,29,37,32,7,Yes
KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,3,28,37,32,7,Yes
LEXUS ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,40,39,40,9,Yes
LEXUS GS 450h,3.5,6.0,SCV-8,2WD,Gasoline,midsize car,7,29,34,31,7,Yes
LEXUS LC 500h,3.5,6.0,SCV-10,2WD,Gasoline,small car,7,26,35,30,7,Yes
LEXUS NX 300h,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7,33,30,31,7,Yes
LEXUS RX 450h,3.5,6.0,SCV-6,4WD,Gasoline,standard SUV,7,31,28,30,7,Yes
LINCOLN MKZ Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7,41,38,40,9,Yes
MAZDA 2,1.5,4.0,Man-6,2WD,Gasoline,small car,3,30,39,34,8,Yes
MAZDA 2,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,3,32,40,35,8,Yes
MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,27,37,31,7,Yes
MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7,28,38,31,7,Yes
MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,Yes
MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,28,37,31,7,Yes
MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,26,35,30,7,Yes
MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7,27,36,30,7,Yes
MAZDA CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3,29,34,31,7,Yes
MERCEDES-BENZ C350e,2.0,4.0,Auto-7,2WD,Gasoline/Electricity,small car,7,28/45,32/61,30/51,9,Yes
MERCEDES-BENZ GLC 350e 4Matic,2.0,4.0,Auto-7,4WD,Gasoline/Electricity,small SUV,7,24/55,27/57,25/56,9,Yes
MERCEDES-BENZ GLE550e 4Matic,3.0,6.0,Auto-7,4WD,Gasoline/Electricity,standard SUV,6,20/38,23/50,21/43,7,Yes
MINI Cooper Convertible,1.5,3.0,Man-6,2WD,Gasoline,small car,7,28,37,32,7,Yes
MINI Cooper Convertible,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,Yes
MINI Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,7,28,37,32,7,Yes
MINI Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,7,28,38,32,7,Yes
MINI Cooper Hardtop,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,Yes
MINI Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Gasoline/Electricity,midsize car,3,28/63,27/66,27/65,9,Yes
MITSUBISHI Mirage,1.2,3.0,CVT,2WD,Gasoline,small car,5,37,43,39,9,Yes
MITSUBISHI Mirage,1.2,3.0,Man-5,2WD,Gasoline,small car,5,33,41,36,8,Yes
MITSUBISHI Mirage G4,1.2,3.0,CVT,2WD,Gasoline,small car,5,35,41,37,8,Yes
MITSUBISHI Mirage G4,1.2,3.0,Man-5,2WD,Gasoline,small car,5,33,40,35,8,Yes
MITSUBISHI Outlander PHEV,2.0,4.0,Auto-1,4WD,Gasoline/Electricity,small SUV,7,25/78,26/70,25/74,10,Elite
NISSAN Altima,2.5,4.0,CVT,2WD,Gasoline,midsize car,7,27,38,31,7,Yes
NISSAN Altima SR,2.5,4.0,SCV-7,2WD,Gasoline,midsize car,7,26,37,30,7,Yes
NISSAN Kicks,1.6,4.0,CVT,2WD,Gasoline,midsize car,7,31,36,33,8,Yes
NISSAN Rogue Hybrid,2.0,4.0,SCV-7,2WD,Gasoline,small SUV,3,33,35,34,8,Yes
NISSAN Rogue Hybrid,2.0,4.0,SCV-7,4WD,Gasoline,small SUV,3,31,34,33,8,Yes
NISSAN Sentra,1.8,4.0,CVT,2WD,Gasoline,midsize car,7,29,37,32,7,Yes
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5,27,36,30,7,Yes
PORSCHE Cayenne S e-Hybrid,3.0,6.0,AutoMan-8,4WD,Gasoline/Electricity,standard SUV,3,21/47,24/46,22/47,8,Yes
PORSCHE Panamera 4 e-Hybrid,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid ST,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera Turbo S e-Hybrid,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid Exec,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid ST,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,3,19/48,23/51,21/49,7,Yes
SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7,28,38,32,7,Yes
SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7,28,37,31,7,Yes
SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7,27,36,30,7,Yes
SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7,27,35,30,7,Yes
TOYOTA Avalon Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,40,39,40,9,Yes
TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,29,41,34,8,Yes
TOYOTA Camry Hybrid LE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid XLE/SE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,44,47,46,10,Elite
TOYOTA Camry LE/SE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
TOYOTA Camry XLE/XSE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,3,28,36,32,7,Yes
TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,3,27,35,30,7,Yes
TOYOTA Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,3,28,35,31,7,Yes
TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5,30,40,34,8,Yes
TOYOTA Corolla iM,1.8,4.0,Man-6,2WD,Gasoline,midsize car,5,27,35,30,7,Yes
TOYOTA Corolla iM,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,5,28,36,31,7,Yes
TOYOTA Prius,1.8,4.0,CVT,2WD,Gasoline,midsize car,7,54,50,52,10,Elite
TOYOTA Prius Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,7,58,53,56,10,Elite
TOYOTA Prius Prime,1.8,4.0,CVT,2WD,Gasoline/Electricity,midsize car,7,55/145,53/121,54/133,10,Elite
TOYOTA Prius c,1.5,4.0,CVT,2WD,Gasoline,small car,7,48,43,46,10,Elite
TOYOTA RAV4 Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7,34,30,32,7,Yes
TOYOTA Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,3,30,35,32,7,Yes
TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,3,30,36,33,8,Yes
TOYOTA Yaris iA,1.5,4.0,Man-6,2WD,Gasoline,small car,3,30,39,34,8,Yes
TOYOTA Yaris iA,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,3,32,40,35,8,Yes
VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3,28,40,33,8,Yes
VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5,28,38,32,7,Yes
VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,midsize car,7,26/70,33/72,29/71,10,Elite
VOLVO XC60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small SUV,7,26/60,28/58,26/59,10,Elite
VOLVO XC90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,7,26/63,30/61,27/62,10,Elite
